gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,at,ni,sale,costat
023249,2023-06-30,2023,INDL,C,D,STD,LITE,LUMENTUM HOLDINGS INC,USD,4632.1000,-131.6000,1767.0000,A
023297,2023-12-31,2023,INDL,C,D,STD,XBIT,XBIOTECH INC,USD,226.6150,-24.5570,0.0000,A
023407,2023-12-31,2023,INDL,C,D,STD,BPMC,BLUEPRINT MEDICINES CORP,USD,1049.2500,-506.9840,249.3800,A
023432,2023-12-31,2023,INDL,C,D,STD,VIRT,VIRTU FINANCIAL INC,USD,14466.3840,142.0360,2293.3730,A
023450,2023-12-31,2023,INDL,C,D,STD,NRIM,NORTHRIM BANCORP INC,USD,2807.4970,25.3940,158.3260,A
023464,2023-12-31,2023,INDL,C,D,STD,OPRX,OPTIMIZERX CORP,USD,183.3740,-17.5660,71.5220,A
023500,2023-12-31,2023,INDL,C,D,STD,CATY,CATHAY GENERAL BANCORP,USD,23081.5340,354.1240,1310.5140,A
023555,2023-12-31,2023,INDL,C,D,STD,COLL,COLLEGIUM PHARMACEUTICAL INC,USD,1143.3080,48.1550,566.7670,A
023556,2023-12-31,2023,INDL,C,D,STD,CHCT,COMMUNITY HEALTHCARE TRUST,USD,945.4120,7.7140,112.9520,A
023587,2023-09-30,2023,INDL,C,D,STD,HAYN,HAYNES INTERNATIONAL INC,USD,706.2810,41.9750,589.9560,A
023705,2023-12-31,2023,INDL,C,D,STD,PAVM,PAVMED INC,USD,33.1190,-64.1750,2.4520,A
023714,2023-12-31,2023,INDL,C,D,STD,CYH,COMMUNITY HEALTH SYSTEMS INC,USD,14455.0000,-133.0000,12490.0000,A
023753,2023-12-31,2023,INDL,C,D,STD,DORM,DORMAN PRODUCTS INC,USD,2292.4070,129.2590,1929.7880,A
023809,2023-08-31,2023,INDL,C,D,STD,AZO,AUTOZONE INC,USD,15985.8780,2528.4260,17457.2090,A
023812,2023-12-31,2023,INDL,C,D,STD,REGN,REGENERON PHARMACEUTICALS,USD,33080.2000,3953.6000,13117.2000,A
023818,2023-12-31,2023,INDL,C,D,STD,EVH,EVOLENT HEALTH INC,USD,2680.3080,-113.0400,1963.8960,A
023843,2023-12-31,2023,INDL,C,D,STD,WING,WINGSTOP INC,USD,377.8250,70.1750,460.0550,A
